date,close,adj_close,volume
2000-01-03,30.5625,30.5625,441000
2000-01-04,30.4375,30.4375,490600
2000-01-05,30.3125,30.3125,577400
2000-01-06,29.0625,29.0625,489600
2000-01-07,30.4375,30.4375,472100
2000-01-10,30.6875,30.6875,355100
2000-01-11,30.0625,30.0625,648700
2000-01-12,29.8125,29.8125,445500
2000-01-13,30.0,30.0,224300
2000-01-14,29.75,29.75,546400
2000-01-18,29.625,29.625,341900
2000-01-19,30.125,30.125,240500
2000-01-20,29.0625,29.0625,375400
2000-01-21,28.25,28.25,516500
2000-01-24,27.75,27.75,384600
2000-01-25,27.875,27.875,361200
2000-01-26,27.625,27.625,600700
2000-01-27,27.0,27.0,441300
2000-01-28,26.1875,26.1875,384800
2000-01-31,26.25,26.25,329400
2000-02-01,26.3125,26.3125,564300
2000-02-02,25.8125,25.8125,512200
2000-02-03,26.5625,26.5625,428900
2000-02-04,26.625,26.625,388000
2000-02-07,25.375,25.375,163100
2000-02-08,25.1875,25.1875,575300
2000-02-09,24.0,24.0,796600
2000-02-10,24.0625,24.0625,1114300
2000-02-11,23.25,23.25,1216000
2000-02-14,23.375,23.375,237300
2000-02-15,23.375,23.375,382100
2000-02-16,22.3125,22.3125,922700
2000-02-17,22.625,22.625,758100
2000-02-18,22.125,22.125,1077000
2000-02-22,22.375,22.375,1041500
2000-02-23,23.25,23.25,937900
2000-02-24,22.0625,22.0625,619500
2000-02-25,23.3125,23.3125,685000
2000-02-28,23.0625,23.0625,486000
2000-02-29,24.0,24.0,878600
2000-03-01,22.625,22.625,724400
2000-03-02,22.8125,22.8125,945000
2000-03-03,22.4375,22.4375,668200
2000-03-06,22.375,22.375,661200
2000-03-07,21.125,21.125,1092800
2000-03-08,22.0,22.0,485300
2000-03-09,22.75,22.75,394600
2000-03-10,21.8125,21.8125,476600
2000-03-13,21.3125,21.3125,490100
2000-03-14,22.5625,22.5625,519800
2000-03-15,24.125,24.125,687700
2000-03-16,26.4375,26.4375,863600
2000-03-17,24.3125,24.3125,901500
2000-03-20,25.0,25.0,519100
2000-03-21,25.6875,25.6875,397500
2000-03-22,24.75,24.75,543500
2000-03-23,24.125,24.125,820500
2000-03-24,25.5625,25.5625,622700
2000-03-27,25.625,25.625,560400
2000-03-28,26.25,26.25,518500
2000-03-29,26.8125,26.8125,767700
2000-03-30,27.1875,27.1875,468400
2000-03-31,27.75,27.75,831400
2000-04-03,27.875,27.875,381500
2000-04-04,27.0625,27.0625,655300
2000-04-05,27.6875,27.6875,516200
2000-04-06,28.625,28.625,286100
2000-04-07,28.9375,28.9375,906100
2000-04-10,29.1875,29.1875,409300
2000-04-11,29.75,29.75,921500
2000-04-12,29.1875,29.1875,484500
2000-04-13,27.8125,27.8125,362500
2000-04-14,26.0,26.0,516700
2000-04-17,25.9375,25.9375,504300
2000-04-18,26.3125,26.3125,404800
2000-04-19,25.4375,25.4375,435700
2000-04-20,24.9375,24.9375,522000
2000-04-24,24.9375,24.9375,405200
2000-04-25,25.0625,25.0625,321700
2000-04-26,23.9375,23.9375,873300
2000-04-27,23.0625,23.0625,539700
2000-04-28,22.9375,22.9375,265500
2000-05-01,23.0625,23.0625,491800
2000-05-02,22.5,22.5,500100
2000-05-03,21.875,21.875,566200
2000-05-04,22.125,22.125,337500
2000-05-05,21.9375,21.9375,346300
2000-05-08,22.4375,22.4375,519900
2000-05-09,23.125,23.125,691800
2000-05-10,22.625,22.625,264600
2000-05-11,23.9375,23.9375,454400
2000-05-12,23.6875,23.6875,262800
2000-05-15,26.875,26.875,917400
2000-05-16,26.5,26.5,794800
2000-05-17,26.0,26.0,376400
2000-05-18,26.75,26.75,330300
2000-05-19,26.8125,26.8125,579800
2000-05-22,27.75,27.75,678000
2000-05-23,27.5,27.5,645700
2000-05-24,26.8125,26.8125,541600
2000-05-25,27.0625,27.0625,539200
2000-05-26,27.1875,27.1875,600900
2000-05-30,27.8125,27.8125,321000
2000-05-31,28.0,28.0,354800
2000-06-01,28.1875,28.1875,548700
2000-06-02,28.9375,28.9375,586800
2000-06-05,28.9375,28.9375,303600
2000-06-06,28.0625,28.0625,297300
2000-06-07,28.375,28.375,674600
2000-06-08,27.75,27.75,241500
2000-06-09,27.9375,27.9375,339900
2000-06-12,28.0625,28.0625,319600
2000-06-13,28.75,28.75,370400
2000-06-14,28.9375,28.9375,328700
2000-06-15,29.0,29.0,291000
2000-06-16,27.375,27.375,1490200
2000-06-19,27.125,27.125,427300
2000-06-20,26.375,26.375,454300
2000-06-21,26.3125,26.3125,501800
2000-06-22,25.9375,25.9375,382000
2000-06-23,24.9375,24.9375,1416200
2000-06-26,24.4375,24.4375,734000
2000-06-27,24.8125,24.8125,853600
2000-06-28,24.640625,24.640625,786300
2000-06-29,24.0,24.0,637700
2000-06-30,22.015625,22.015625,988200
2000-07-03,23.75,23.75,603100
2000-07-05,24.0625,24.0625,529300
2000-07-06,24.5,24.5,729900
2000-07-07,24.625,24.625,556300
2000-07-10,24.4375,24.4375,385600
2000-07-11,24.4375,24.4375,434400
2000-07-12,24.0625,24.0625,403800
2000-07-13,23.625,23.625,349500
2000-07-14,24.1875,24.1875,366500
2000-07-17,23.9375,23.9375,648400
2000-07-18,24.0,24.0,722200
2000-07-19,23.625,23.625,503800
2000-07-20,23.625,23.625,373500
